age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,hours-per-week,native-country,income
22,0,416103,0,10.0,1,0,2,0,0,50,0,0
36,0,187203,4,11.0,2,0,2,0,0,50,0,0
43,0,198965,1,10.0,0,4,0,0,0,38,0,1
55,0,381965,2,10.0,0,0,5,0,0,40,0,0
23,0,162228,0,9.0,1,7,2,0,0,40,0,0
46,0,116789,0,9.0,0,3,0,0,0,40,0,1
40,0,222434,2,13.0,0,6,0,0,0,45,1,1
45,0,329603,12,10.0,0,1,0,0,0,40,1,1
47,0,178013,7,10.0,0,0,4,0,1,20,1,0
41,1,264663,5,10.0,2,5,1,0,1,40,0,0
19,0,167140,1,10.0,1,5,2,0,0,24,0,0
59,4,77816,9,15.0,0,1,0,0,0,40,0,1
41,0,33126,4,11.0,1,5,1,0,0,45,0,0
34,4,152109,0,10.0,0,0,0,0,0,40,0,0
32,0,29312,7,6.0,0,7,0,0,0,80,0,1
28,0,173673,13,3.0,1,5,1,0,1,40,1,0
45,4,178344,4,11.0,2,4,3,0,1,30,0,0
51,0,299831,4,11.0,1,1,2,0,1,40,0,0
37,4,154410,0,9.0,0,0,0,0,0,60,0,1
61,0,108398,5,7.0,4,0,3,1,1,9,0,0
46,5,219967,2,13.0,0,2,0,0,0,40,0,1
46,0,308334,14,10.0,4,5,3,4,1,30,1,0
62,0,271431,10,5.0,0,5,0,1,0,42,0,0
59,1,31137,0,9.0,0,9,0,0,0,70,0,0
36,0,149419,1,10.0,2,3,1,0,0,55,0,0
47,0,109089,1,10.0,0,1,0,0,0,70,0,0
47,0,199832,0,9.0,0,0,0,0,0,40,0,0
21,0,44793,1,10.0,1,3,1,0,0,65,0,0
42,0,310632,1,10.0,0,0,0,1,0,40,0,1
51,0,105788,13,3.0,3,5,3,1,1,40,1,0
56,2,174564,11,8.0,2,7,1,0,0,40,0,0
22,1,214014,1,10.0,1,4,2,1,0,55,0,1
51,5,40808,2,13.0,1,1,1,3,1,43,0,0
19,0,195282,0,9.0,1,0,2,1,1,20,0,0
28,0,271466,0,9.0,0,2,0,0,0,45,0,1
34,0,105493,3,14.0,2,1,3,0,1,40,0,0
33,0,170769,12,16.0,2,4,1,0,0,60,0,1
56,0,91262,0,10.0,0,7,0,2,0,45,0,0
55,1,278228,7,6.0,0,4,0,0,0,35,0,0
32,3,316589,3,14.0,0,2,0,0,0,40,0,1
41,0,243607,13,3.0,0,3,0,0,0,40,1,0
34,0,186824,2,13.0,0,1,0,0,0,40,0,0
39,0,272338,0,9.0,0,3,4,0,1,25,0,0
19,0,231688,1,10.0,1,6,2,0,0,20,0,0
35,0,33975,3,14.0,1,1,1,0,0,45,0,1
35,0,139770,4,11.0,0,0,4,0,1,20,0,1
62,0,123992,0,9.0,0,0,0,0,0,40,0,0
42,0,183765,1,10.0,0,4,0,0,0,50,0,0
34,2,183801,2,13.0,1,5,1,0,0,14,0,0
37,0,242713,11,10.0,3,12,3,1,1,40,0,0
26,0,91683,1,10.0,0,7,0,0,0,40,0,0
23,2,238384,0,9.0,1,3,2,0,1,40,0,0
44,1,335183,11,8.0,0,8,0,1,0,40,0,1
72,0,113044,0,9.0,4,0,1,0,0,30,0,0
38,0,260997,1,10.0,0,6,0,1,0,40,0,0
22,0,185357,1,10.0,1,0,2,0,0,50,0,0
22,0,191561,1,10.0,0,0,4,0,1,30,0,0
47,0,206659,1,10.0,2,3,5,0,1,40,0,0
38,0,110607,0,9.0,2,5,1,0,0,32,0,0
23,0,239375,2,10.0,1,6,2,0,0,40,0,0
25,0,217006,5,7.0,0,6,0,0,0,40,0,0
45,0,54260,0,9.0,1,9,1,0,0,60,0,0
25,5,27142,1,10.0,0,2,0,0,0,40,0,1
48,0,200471,2,10.0,0,7,0,0,0,45,0,1
38,2,339442,1,10.0,0,7,0,1,0,40,0,0
43,3,218542,0,9.0,1,3,3,1,1,40,0,0
59,0,180645,0,9.0,2,3,1,0,1,40,0,0
25,0,109009,5,7.0,0,0,0,0,0,40,0,0
53,1,174102,9,15.0,2,1,3,0,0,60,0,0
47,0,121124,10,5.0,0,6,0,0,0,40,0,0
34,2,188682,2,13.0,5,1,1,0,1,40,0,0
23,0,240398,2,13.0,1,4,1,1,0,15,0,0
42,5,177142,2,13.0,1,10,3,0,0,40,0,0
24,0,179423,0,9.0,1,3,2,0,1,40,0,0
27,1,87745,4,11.0,0,9,0,0,0,70,0,0
49,0,262116,9,15.0,0,1,0,0,0,48,0,0
20,0,258730,0,9.0,1,12,2,0,1,40,0,0
29,0,154411,4,11.0,1,10,2,0,0,40,0,0
52,0,82285,2,13.0,5,5,5,1,1,40,1,0
37,3,318891,1,10.0,2,3,3,0,1,40,0,0
42,0,204235,0,9.0,0,4,0,0,0,40,0,0
51,3,285747,3,14.0,0,1,0,0,0,60,0,1
26,0,140446,0,9.0,0,8,4,0,1,40,0,0
42,0,272910,0,9.0,2,5,1,0,1,40,0,0
53,0,151864,0,9.0,0,0,0,0,0,40,0,0
22,3,149342,1,10.0,1,8,2,0,0,35,0,0
41,0,283174,2,13.0,0,0,0,0,0,40,0,1
33,0,162572,2,10.0,0,1,0,0,0,40,0,1
32,0,137875,1,10.0,2,4,3,0,1,30,0,0
43,0,58447,12,16.0,0,1,0,0,0,55,0,1
40,0,71738,3,14.0,0,2,0,0,0,46,0,1
28,1,294398,1,10.0,1,6,1,1,0,40,0,0
47,0,135803,0,9.0,0,5,0,2,0,25,1,0
29,0,125791,6,12.0,1,2,5,0,1,38,0,0
48,1,138069,13,3.0,0,0,0,0,0,50,0,0
55,0,197114,1,10.0,0,7,0,0,0,6,0,1
18,0,298860,11,8.0,1,8,2,0,0,20,0,0
54,0,141663,0,9.0,1,5,1,0,0,15,0,0
19,0,155863,1,10.0,1,0,2,0,1,30,0,0
37,2,80680,2,10.0,2,1,3,0,1,35,0,0
54,0,204397,1,10.0,0,9,0,0,0,50,0,0
65,4,323636,2,13.0,0,4,0,0,0,40,0,0
30,0,285855,10,10.0,0,0,0,0,0,40,0,0
20,3,178628,1,10.0,1,3,2,0,0,40,0,0
34,1,204052,0,10.0,0,0,0,0,0,40,0,0
31,0,303032,1,10.0,1,5,3,1,1,40,0,0
37,2,175120,3,14.0,1,1,1,0,0,45,0,0
46,0,164749,1,10.0,0,2,0,0,0,40,0,1
26,0,142152,5,7.0,1,7,1,0,1,35,0,0
20,0,177287,0,9.0,1,3,1,0,1,30,0,0
33,1,58702,4,11.0,0,1,4,0,1,50,0,1
21,0,240063,0,10.0,1,7,2,0,0,48,0,0
