age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income,signature_id
22,Private,416103,HS-grad,H,Never-married,Craft-repair,Own-child,White,Male,0,0,50,United-States,<=50K,VLClkIza
36,?,187203,Assoc-voc,11,Divorced,?,Own-child,White,Male,0,0,50,United-States,?,okCEKjvJ
43,Private,198965,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,38,United-States,>50K,VgybEBAY
55,Private,381965,Bachelors,T,Married-civ-spouse,Craft-repair,Other-relative,White,Male,0,0,40,United-States,<=50K,aKheEBUe
23,Private,162228,HS-grad,9,Never-married,Transport-moving,Own-child,White,Male,0,0,40,United-States,<=50K,bAGplmne
46,Private,116789,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,>50K,dRINenCb
40,Private,222434,Bachelors,13,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,45,Canada,>50K,aNJaYXsj
45,Private,329603,Doctorate,X,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,Poland,>50K,KHLlbZOx
47,?,178013,10th,W,Married-civ-spouse,?,Wife,White,Female,0,0,20,Cuba,<=50K,PJULlydp
41,Self-emp-not-inc,264663,11th,X,Divorced,Other-service,Not-in-family,White,Female,0,0,40,United-States,?,oDtZxTpQ
19,Private,167140,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,1602,24,United-States,?,ABzjvjQH
59,Self-emp-inc,77816,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,99999,0,40,United-States,>50K,jPAuVtVe
41,Private,33126,Assoc-voc,11,Never-married,Other-service,Not-in-family,White,Male,0,0,45,United-States,<=50K,mdHbZcXj
34,Self-emp-inc,152109,HS-grad,Y,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K,pxZLyFhV
32,Private,29312,10th,6,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,80,United-States,>50K,HRypwmBC
28,Private,173673,5th-6th,3,Never-married,Other-service,Not-in-family,White,Female,0,0,40,Mexico,<=50K,IeesILAA
