age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,hours-per-week,native-country,income,education_encoded
22,Private,416103,HS-grad,10.06420796100731,Never-married,Craft-repair,Own-child,White,Male,50,United-States,<=50K,12
36,Private,187203,Assoc-voc,11.0,Divorced,Craft-repair,Own-child,White,Male,50,United-States,<=50K,9
43,Private,198965,Some-college,10.0,Married-civ-spouse,Sales,Husband,White,Male,38,United-States,>50K,16
55,Private,381965,Bachelors,10.06420796100731,Married-civ-spouse,Craft-repair,Other-relative,White,Male,40,United-States,<=50K,10
23,Private,162228,HS-grad,9.0,Never-married,Transport-moving,Own-child,White,Male,40,United-States,<=50K,12
46,Private,116789,HS-grad,9.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,United-States,>50K,12
40,Private,222434,Bachelors,13.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,45,Canada,>50K,10
45,Private,329603,Doctorate,10.06420796100731,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,Poland,>50K,11
47,Private,178013,10th,10.06420796100731,Married-civ-spouse,Craft-repair,Wife,White,Female,20,Cuba,<=50K,1
41,Self-emp-not-inc,264663,11th,10.06420796100731,Divorced,Other-service,Not-in-family,White,Female,40,United-States,<=50K,2
19,Private,167140,Some-college,10.0,Never-married,Other-service,Own-child,White,Male,24,United-States,<=50K,16
59,Self-emp-inc,77816,Prof-school,15.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K,15
41,Private,33126,Assoc-voc,11.0,Never-married,Other-service,Not-in-family,White,Male,45,United-States,<=50K,9
34,Self-emp-inc,152109,HS-grad,10.06420796100731,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,12
32,Private,29312,10th,6.0,Married-civ-spouse,Transport-moving,Husband,White,Male,80,United-States,>50K,1
28,Private,173673,5th-6th,3.0,Never-married,Other-service,Not-in-family,White,Female,40,Mexico,<=50K,5
45,Self-emp-inc,178344,Assoc-voc,11.0,Divorced,Sales,Unmarried,White,Female,30,United-States,<=50K,9
51,Private,299831,Assoc-voc,11.0,Never-married,Prof-specialty,Own-child,White,Female,40,United-States,<=50K,9
37,Self-emp-inc,154410,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,60,United-States,>50K,12
61,Private,108398,11th,7.0,Widowed,Craft-repair,Unmarried,Black,Female,9,United-States,<=50K,2
46,Federal-gov,219967,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K,10
46,Private,308334,1st-4th,10.06420796100731,Widowed,Other-service,Unmarried,Other,Female,30,Mexico,<=50K,4
62,Private,271431,9th,5.0,Married-civ-spouse,Other-service,Husband,Black,Male,42,United-States,<=50K,7
59,Self-emp-not-inc,31137,HS-grad,9.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,70,United-States,<=50K,12
